current_time,weather,temp,humidity
2025-07-15 04:25:46,Clouds,26.02,75
2025-07-15 04:31:05,Clouds,26.02,75
2025-07-15 04:54:25,Clouds,23.97,73
2025-07-15 05:24:58,Rain,23.97,73
2025-07-15 05:49:32,Clouds,25.41,67
2025-07-15 06:15:01,Clouds,25.41,67
2025-07-15 06:49:43,Clouds,24.56,69
2025-07-15 07:13:50,Clouds,24.74,72
2025-07-15 07:38:37,Clouds,24.79,67
2025-07-15 07:51:45,Clouds,24.79,67
2025-07-15 08:20:28,Clouds,24.79,67
2025-07-15 08:48:43,Clouds,25.34,62
2025-07-15 09:17:41,Clouds,25.17,72
2025-07-15 09:45:49,Clouds,26.76,69
2025-07-15 09:58:33,Clouds,26.76,69
2025-07-15 10:32:29,Clear,24.76,78
2025-07-15 10:52:28,Clear,24.76,78
2025-07-15 11:14:36,Clear,24.76,78
2025-07-15 11:32:44,Clouds,23.76,88
2025-07-15 11:46:20,Clouds,23.76,88
2025-07-15 11:57:58,Clouds,23.76,88
2025-07-15 12:59:13,Rain,23.76,94
2025-07-15 13:43:31,Clouds,23.76,94
2025-07-15 13:59:36,Clouds,23.76,94
2025-07-15 14:30:17,Clouds,23.76,94
2025-07-15 14:49:53,Clouds,23.76,94
2025-07-15 15:10:00,Clouds,23.76,94
2025-07-15 15:34:51,Clouds,23.76,100
2025-07-15 15:51:20,Clouds,23.76,100
2025-07-15 16:17:27,Clouds,23.78,88
2025-07-15 16:47:32,Clouds,22.76,100
2025-07-15 17:00:55,Clouds,22.76,100
2025-07-15 17:29:54,Clouds,23.76,100
2025-07-15 17:47:37,Clouds,23.76,100
2025-07-15 17:59:02,Clouds,23.76,100
2025-07-15 18:42:08,Clouds,23.76,100
2025-07-15 19:00:26,Clouds,23.76,100
2025-07-15 19:26:24,Clouds,23.76,100
2025-07-15 19:41:58,Rain,23.76,100
2025-07-15 19:53:27,Clouds,23.76,100
2025-07-15 20:21:15,Clouds,23.76,100
2025-07-15 20:42:31,Rain,23.76,100
2025-07-15 20:56:07,Clouds,23.76,100
2025-07-15 21:24:38,Mist,22.76,100
2025-07-15 21:41:50,Mist,22.76,100
2025-07-15 21:53:26,Mist,22.76,100
2025-07-15 22:18:51,Mist,22.76,100
2025-07-15 22:42:09,Mist,23.76,100
2025-07-15 22:54:44,Mist,23.76,100
2025-07-15 23:20:25,Clouds,22.76,100
